tweet_id,term
187,god
187,bless
187,librarian
187,oscar
188,myluvdreww
188,oddali
188,ho
188,zmar
188,ym
188,tw
188,rcom
188,tym
188,polakowi
188,andrzejowi
188,wajdzi
188,oscar
189,enew
189,taraji
189,henson
189,us
189,free
189,food
189,appear
189,nowher
189,oscar
190,fher_turkita
190,se
190,perdieron
190,lo
190,oscar
190,aqu
190,el
190,resumen
190,gr
190,fico
191,cnn
191,presid
191,trump
191,blame
191,oscar
191,best
191,pictur
191,mix
191,hollywood
191,focu
191,polit
192,montezvma
192,oscar
192,ada
192,muslim
192,yang
192,menang
192,hari
192,ini
192,muslim
192,indonesia
192,wah
192,oscar
192,satu
192,ahmadi
192,satu
192,lagi
192,shia
192,muslim
192,ind
193,lrihendri
193,boom
193,potu
193,million
193,come
193,legal
193,america
193,realjameswood
193,oscar
193,winnerisdjt
193,trumpwinsusa
193,boycottoscar
193,ht
194,ann_es
194,zootopia
194,oscar
195,tanquef
195,justintimberlak
195,piper
195,sting
195,celebrandoconcinepoli
195,oscar
195,oscar
195,alfombrarojaph
195,pae
195,de
195,la
195,malanteada
196,girlpost
196,love
196,internet
196,oscar
197,sophieciglen
197,god
197,bless
197,librarian
197,oscar
198,roryomallei
198,lot
198,peopl
198,wine
198,oscar
198,tonight
198,clearli
198,winner
198,night
198,lin_manuel
198,mom
199,just
199,look
199,won
199,tomhank
199,rd
199,oscar
199,come
199,go
199,take
199,peopl
199,oscar
199,sulli
200,badestoutfit
200,jessica
200,alba
200,oscar
201,shujaatshah
201,casei
201,affleck
201,alwai
201,admir
201,denzel
201,denzel
201,oscar
202,nanothompson
202,mejor
202,gui
202,adaptado
202,oscar
203,voguemagazin
203,intric
203,glamor
203,jewelri
203,saw
203,oscar
203,trend
203,highlight
204,jimmykimmel
204,insid
204,stori
204,happen
204,craziest
204,oscar
204,ever
204,last
204,night
204,theacademi
204,abcnetwork
205,jetsettersflyin
205,ryan
205,gosl
205,justin
205,timberlak
205,sing
205,jodeci
205,cry
205,mickei
205,mous
205,club
205,kid
205,oscar
205,musicmondai
205,en
206,poallovato
206,demi
206,lovato
206,na
206,pai
206,oscar
206,organizada
206,pela
206,vaniti
206,fair
207,elcosodelapizza
207,lo
207,premio
207,oscar
207,lo
207,entrego
207,higuain
207,si
207,se
207,entiend
208,latest
208,fit
208,mattrz
208,everydai
208,new
208,oscar
209,jimmychoo
209,redcarpet
209,without
209,jimmychoo
209,heel
209,dianekrug
209,merylstreep
209,tarajiphenson
209,wow
209,oscar
209,st
210,shujaatshah
210,casei
210,affleck
210,alwai
210,admir
210,denzel
210,denzel
210,oscar
211,mtv
211,hello
211,chrisevan
211,oscar
212,rwitherspoon
212,three
212,ladi
212,photobomb
212,dakotajohnson
212,emilyward
212,chrisevan
212,oscar
212,vanityfair
213,rmarab
213,oscar
214,lrihendri
214,winner
214,oop
214,oscar
214,trumpwinsusa
214,newsweek
214,lalaland
214,moonlightg
214,boycottoscar
215,jimjefferi
215,russian
215,hack
215,oscar
215,fake
215,new
215,sad
215,oscar
216,jimmykimmel
216,insid
216,stori
216,happen
216,craziest
216,oscar
216,ever
216,last
216,night
216,theacademi
216,abcnetwork
217,poallovato
217,demi
217,lovato
217,na
217,pai
217,oscar
217,organizada
217,pela
217,vaniti
217,fair
218,iamsteveharvei
218,good
218,morn
218,everybodi
218,went
218,sleep
218,earli
218,last
218,night
218,miss
218,oscar
219,timbourret
219,mayb
219,deshaun
219,win
219,heisman
219,oscar
220,jimmykimmel
220,insid
220,stori
220,happen
220,craziest
220,oscar
220,ever
220,last
220,night
220,theacademi
220,abcnetwork
221,popcrav
221,demi
221,lovato
221,stun
221,vaniti
221,fair
221,oscar
221,pai
222,theskorpion
222,black
222,film
222,won
222,best
222,pictur
222,slaveri
222,maid
222,involv
222,make
222,film
222,oscar
223,calvinklein
223,expect
223,unexpect
223,expect
223,best
223,oscar
224,jimmykimmel
224,insid
224,stori
224,happen
224,craziest
224,oscar
224,ever
224,last
224,night
224,theacademi
224,abcnetwork
225,missunivers
225,peopl
225,call
225,peopl
225,know
225,oscar
225,missunivers
226,tntla
226,pasa
226,en
226,miss
226,universo
226,pasa
226,en
226,lo
226,oscar
226,pasa
226,en
226,tnt
226,oscar
227,madhatt_
227,militari
227,personnel
227,hate
227,trump
227,much
227,yemen
227,seal
227,militarymondai
227,oscar
228,dishnat
228,triniti
228,oscar
